scs_bin,scs_mid,e_s,n,e_s_iso
0,0.051669268710307505,0.4722222222222222,72,0.5271317829457365
1,0.067703493621037,0.5694444444444444,72,0.5271317829457365
2,0.0792393193246736,0.5138888888888888,72,0.5271317829457365
3,0.08989094142943402,0.5555555555555556,72,0.5271317829457365
4,0.10073247614316919,0.4722222222222222,72,0.5106382978723404
5,0.11068463178750201,0.4722222222222222,72,0.44
6,0.11970528325936411,0.4027777777777778,72,0.4230769230769231
7,0.13044933449859528,0.3472222222222222,72,0.35398230088495575
8,0.14352172866848922,0.3888888888888889,72,0.35398230088495575
9,0.15565475011522129,0.2361111111111111,72,0.2777777777777778
10,0.17155312393586664,0.2638888888888889,72,0.24778761061946905
11,0.19085012185201775,0.20833333333333334,72,0.16455696202531647
12,0.2192256874217884,0.125,72,0.16455696202531647
13,0.2559341602469122,0.19444444444444445,72,0.16455696202531647
14,0.29260626973585857,0.06944444444444445,72,0.11475409836065574
15,0.3278024955982669,0.1388888888888889,72,0.11475409836065574
16,0.3627655157478157,0.06944444444444445,72,0.07194244604316546
17,0.40646630099126385,0.08333333333333333,72,0.07194244604316546
18,0.47130607951577896,0.06944444444444445,72,0.061224489795918366
19,0.5901320722470511,0.013888888888888888,72,0.0
