item_id,label,pred,confidence,correct,store_id,seller_id
3720,1,1,0.99473333,1,0,0
8536,1,1,0.99305916,1,0,0
5265,1,1,0.98940545,1,0,0
6692,1,1,0.9916123,1,0,0
14842,1,1,0.994584,1,0,0
13738,1,1,0.99395,1,0,0
13249,1,1,0.99514306,1,0,0
8027,1,1,0.99169683,1,0,0
21110,1,1,0.9938811,1,0,0
1993,1,1,0.9873167,1,0,0
7549,1,7,0.7487447,0,0,0
2636,1,1,0.9880532,1,0,0
7436,1,1,0.99373513,1,0,0
21152,1,1,0.98702234,1,0,0
8111,1,1,0.99321824,1,0,0
20082,1,1,0.99492973,1,0,0
10899,1,1,0.9932087,1,0,0
15172,1,1,0.98001707,1,0,0
10100,1,1,0.987722,1,0,0
5827,1,1,0.98643655,1,0,0
16622,1,1,0.92134213,1,0,0
21285,1,1,0.9925364,1,0,0
5776,1,1,0.9932375,1,0,0
1973,6,6,0.99740773,1,0,0
16075,6,4,0.99217695,0,0,0
6709,6,6,0.9971923,1,0,0
17475,5,5,0.9960079,1,0,0
12596,2,2,0.9945485,1,0,0
11983,8,1,0.9776844,0,0,0
3897,8,8,0.9914655,1,0,0
18467,5,5,0.99629176,1,0,1
10662,5,5,0.9969144,1,0,1
15593,5,5,0.995419,1,0,1
14343,5,5,0.903069,1,0,1
9302,5,5,0.9961068,1,0,1
6779,5,5,0.9968804,1,0,1
13519,5,5,0.996394,1,0,1
3119,5,5,0.8797657,1,0,1
12574,5,10,0.9327955,0,0,1
1978,5,5,0.9855826,1,0,1
13999,5,5,0.9564008,1,0,1
13576,5,5,0.9955924,1,0,1
1675,5,5,0.9919185,1,0,1
16369,5,5,0.99444443,1,0,1
8982,5,5,0.9865601,1,0,1
16977,5,5,0.99560225,1,0,1
868,5,5,0.99634737,1,0,1
3856,5,5,0.9903447,1,0,1
10715,5,5,0.99660325,1,0,1
4001,5,5,0.9963032,1,0,1
7212,5,5,0.9925377,1,0,1
14271,5,5,0.9686527,1,0,1
3223,5,5,0.99655056,1,0,1
14587,5,5,0.9959991,1,0,1
2204,5,5,0.99647176,1,0,1
3748,5,4,0.9917428,0,0,1
12682,5,5,0.99634296,1,0,1
9274,10,10,0.99660814,1,0,1
10514,2,2,0.9928387,1,0,1
10219,2,2,0.9941889,1,0,1
6124,0,0,0.97895116,1,0,2
10765,0,0,0.99273175,1,0,2
14931,0,3,0.65597826,0,0,2
10809,0,0,0.69581676,1,0,2
9932,0,0,0.9846185,1,0,2
20743,0,4,0.8974582,0,0,2
3443,0,0,0.99303424,1,0,2
12791,0,0,0.7992056,1,0,2
12106,0,0,0.99103856,1,0,2
10512,0,0,0.9938346,1,0,2
17937,0,0,0.9917922,1,0,2
5959,0,0,0.8511127,1,0,2
21087,0,0,0.95179456,1,0,2
7454,0,3,0.51013684,0,0,2
12131,0,0,0.9677739,1,0,2
11576,0,0,0.93298674,1,0,2
18856,0,0,0.6901236,1,0,2
9899,0,0,0.99062693,1,0,2
6354,0,8,0.99472165,0,0,2
17909,4,4,0.99269557,1,0,2
238,4,10,0.9916539,0,0,2
19639,4,3,0.9647374,0,0,2
11197,4,4,0.79098946,1,0,2
3079,4,4,0.7250007,1,0,2
6357,4,4,0.9865476,1,0,2
11492,4,9,0.9858662,0,0,2
6592,4,0,0.50023556,0,0,2
2319,4,4,0.99312913,1,0,2
13901,4,4,0.931217,1,0,2
14157,4,2,0.9147708,0,0,2
6198,2,2,0.994965,1,0,3
15874,2,2,0.9644701,1,0,3
15762,2,2,0.9951084,1,0,3
20654,2,2,0.9936951,1,0,3
16750,2,2,0.9942046,1,0,3
6951,2,2,0.99361056,1,0,3
2665,2,3,0.57330173,0,0,3
13360,2,2,0.994524,1,0,3
20227,2,2,0.99344146,1,0,3
21435,2,2,0.95786005,1,0,3
5127,2,2,0.6481736,1,0,3
5236,2,2,0.98324835,1,0,3
988,2,2,0.9924545,1,0,3
3413,2,2,0.9946837,1,0,3
12060,2,2,0.9935569,1,0,3
11893,2,2,0.9937593,1,0,3
8075,2,2,0.9023739,1,0,3
6734,2,2,0.9942154,1,0,3
18312,2,2,0.9949543,1,0,3
9936,2,10,0.5569203,0,0,3
17797,2,2,0.9928826,1,0,3
21229,2,2,0.99383074,1,0,3
6884,2,2,0.99436176,1,0,3
4678,2,2,0.9306839,1,0,3
21005,2,2,0.9939301,1,0,3
13771,2,2,0.9932153,1,0,3
5642,6,6,0.9893652,1,0,3
3800,6,6,0.99720097,1,0,3
3348,6,3,0.6731622,0,0,3
12059,10,10,0.99614185,1,0,3
21416,0,0,0.79724336,1,0,4
21881,0,0,0.9643408,1,0,4
3259,0,0,0.99188274,1,0,4
19690,0,0,0.99232495,1,0,4
1895,0,0,0.9932318,1,0,4
16705,0,0,0.9808992,1,0,4
18746,0,0,0.98764753,1,0,4
19651,0,0,0.9930408,1,0,4
4907,0,0,0.9467105,1,0,4
19701,0,0,0.71296453,1,0,4
2413,0,0,0.8904903,1,0,4
11515,0,0,0.53864795,1,0,4
10441,0,0,0.9321527,1,0,4
7031,0,10,0.5233101,0,0,4
470,0,7,0.90228957,0,0,4
17228,0,0,0.9881434,1,0,4
7524,0,0,0.9908903,1,0,4
14787,0,3,0.93973076,0,0,4
9069,0,0,0.9492364,1,0,4
8324,0,0,0.75933105,1,0,4
19556,0,0,0.9854165,1,0,4
1975,0,0,0.76546824,1,0,4
16420,0,0,0.99231553,1,0,4
2745,8,8,0.9929664,1,0,4
7990,8,4,0.65079594,0,0,4
13302,8,8,0.9929662,1,0,4
15989,3,3,0.9219481,1,0,4
19370,10,10,0.99457514,1,0,4
893,10,10,0.9936299,1,0,4
4201,10,10,0.99581367,1,0,4
6503,4,4,0.9932754,1,0,5
6693,4,4,0.98208505,1,0,5
21338,4,4,0.99203295,1,0,5
10292,4,9,0.9602219,0,0,5
10300,4,9,0.9603746,0,0,5
9104,4,4,0.9166581,1,0,5
3142,4,4,0.9880215,1,0,5
20578,4,3,0.82282966,0,0,5
422,4,4,0.9934953,1,0,5
3611,4,4,0.9863739,1,0,5
4945,4,4,0.9704367,1,0,5
5873,4,4,0.99233526,1,0,5
2928,4,4,0.9906063,1,0,5
520,4,4,0.891242,1,0,5
14270,4,4,0.93618405,1,0,5
21297,4,4,0.9563858,1,0,5
2749,4,4,0.9920615,1,0,5
6257,4,9,0.5394283,0,0,5
10390,4,4,0.931433,1,0,5
20430,4,4,0.81763023,1,0,5
14734,4,3,0.62744284,0,0,5
16488,4,4,0.9914035,1,0,5
12043,4,4,0.93573993,1,0,5
8774,4,4,0.98645663,1,0,5
4151,4,4,0.90786713,1,0,5
18923,4,3,0.6019128,0,0,5
17389,4,4,0.9887515,1,0,5
1920,8,8,0.9007031,1,0,5
16223,8,8,0.9940252,1,0,5
18174,8,7,0.7663801,0,0,5
12320,2,2,0.9943954,1,0,6
20416,2,9,0.5423477,0,0,6
2114,2,2,0.9309077,1,0,6
8621,2,2,0.43600214,1,0,6
21412,2,2,0.9941251,1,0,6
6536,2,2,0.82150453,1,0,6
3235,2,2,0.989193,1,0,6
10648,2,2,0.99460393,1,0,6
11000,2,2,0.9948815,1,0,6
14278,2,2,0.994457,1,0,6
6813,2,2,0.99278826,1,0,6
21032,2,2,0.9927337,1,0,6
11234,2,2,0.9415533,1,0,6
6289,2,2,0.9945582,1,0,6
21193,2,2,0.99448746,1,0,6
20353,2,2,0.96710634,1,0,6
10831,2,2,0.9909763,1,0,6
665,2,2,0.67706186,1,0,6
13008,2,2,0.97224516,1,0,6
2831,9,9,0.9567418,1,0,6
3512,9,9,0.9908165,1,0,6
13389,9,9,0.99171126,1,0,6
