backend,n,mean_scs,assign_acc
TF-IDF+LR,879,0.11295162533936134,0.5813424345847554
TF-IDF+LR,355,0.29506871917650296,0.9154929577464789
TF-IDF+LR,186,0.4724569615806294,0.967741935483871
TF-IDF+LR,18,0.6683865284281948,1.0
TF-IDF+LR,2,0.9092648097097242,1.0
klue/roberta-base,867,0.11430321057551864,0.6032295271049596
klue/roberta-base,362,0.297994434449358,0.9005524861878453
klue/roberta-base,181,0.47738579545562365,0.9723756906077348
klue/roberta-base,28,0.6765448764605696,0.9642857142857143
klue/roberta-base,2,0.9070783136096388,1.0
klue/bert-base,884,0.11360602462760223,0.5950226244343891
klue/bert-base,352,0.2954147548918054,0.9090909090909091
klue/bert-base,172,0.4725322404306345,0.9651162790697675
klue/bert-base,30,0.670970007057098,0.9666666666666667
klue/bert-base,2,0.9092648097097242,1.0
KoELECTRA,884,0.11255744529406599,0.5995475113122172
KoELECTRA,373,0.30009621976281203,0.8900804289544236
KoELECTRA,163,0.4786077346506688,0.9877300613496932
KoELECTRA,19,0.6687880192726113,0.9473684210526315
KoELECTRA,1,0.8115164426755349,1.0
