method,regime,n_stores,n_sellers,mean_items,mean_acc
A_real,cross,1,120,143.33333333333334,0.8724166666666666
A_real,cross,2,120,143.33333333333334,0.8755555555555555
A_real,cross,3,120,143.0,0.8814065656565656
A_real,cross,5,120,143.33333333333334,0.8656111111111111
A_real,diversified,1,120,143.33333333333334,0.8729166666666667
A_real,diversified,2,120,143.33333333333334,0.8755833333333334
A_real,diversified,3,120,143.0,0.8738796296296296
A_real,diversified,5,120,143.33333333333334,0.8685833333333334
A_real,focused,1,120,143.33333333333334,0.8710555555555556
A_real,focused,2,120,143.33333333333334,0.8768055555555556
A_real,focused,3,120,143.0,0.868510101010101
A_real,focused,5,120,143.33333333333334,0.8684444444444445
B_noise,cross,1,120,143.33333333333334,0.7635277777777778
B_noise,cross,2,120,143.33333333333334,0.770611111111111
B_noise,cross,3,120,143.0,0.7566111111111111
B_noise,cross,5,120,143.33333333333334,0.7553888888888889
B_noise,diversified,1,120,143.33333333333334,0.7497222222222223
B_noise,diversified,2,120,143.33333333333334,0.7608611111111111
B_noise,diversified,3,120,143.0,0.7598510101010102
B_noise,diversified,5,120,143.33333333333334,0.7631388888888889
B_noise,focused,1,120,143.33333333333334,0.75325
B_noise,focused,2,120,143.33333333333334,0.75325
B_noise,focused,3,120,143.0,0.752827441077441
B_noise,focused,5,120,143.33333333333334,0.7613055555555556
